"AN";"PD";"CR";"LA";"BY";"IP";"RE";"CO";"NS";"KW";"WC";"HD"
"248";"AFNWS00020150105eb15001fu";2015-01-05;"";"Anglais";"by Dinizulu Mbiko Macaphulana";"accident | africa | apartheid | army | book | bush | business | china | clinical | community | coup | crime | democracy | energy | ethiopia | family | fire | government | health | law | library | literature | local | machinery | malawi | mozambique | murder | museum | nigeria | note | politics | sex | shooting | slovenia | smoking | south+africa | tanzania | tonga | war | writing | zimbabwe";"zimbab  africaz  china  nigea  tanza  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  souafrz  wafrz ";"";"ghea  gmurd  gpol  gcat  gcrim  gpir ";"zimbab  africaz  china  nigea  tanza  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  souafrz  wafrz   ghea  gmurd  gpol  gcat  gcrim  gpir ";4504;"Nathaniel Manheru - a Lowbrow Bedside Operator [opinion]"
"249";"AFNWS00020141219eacj0010l";2014-12-19;"";"Anglais";"by Nick Ishmael Perkins";"africa | bangladesh | contamination | crops | editors | egypt | equity | exercise | gdp | government | gross+domestic+product | household | hydroelectric | investment | media | mozambique | multimedia | online | policy | publishing | research | research+and+development | science | training | unions";"africaz  egypt  devgcoz  dvpcoz  meastz  medz  nafrz ";"";"gpol  gcat  gpir ";"africaz  egypt  devgcoz  dvpcoz  meastz  medz  nafrz   gpol  gcat  gpir ";1042;"SciDev.Net's Most Influential Stories in 2014"
"250";"AFNWS00020141210eaca0014w";2014-12-10;"";"Anglais";"by Cheryl Overs";"activist | australia | bank | brazil | canada | chad | coffee | community | conference | discrimination | energy | fiji | foundation | hiv | human+rights | immigration | internet | ireland | jamaica | law | law+enforcement | legal | liberia | medicine | men | mexico | minorities | nigeria | parliament | photography | police | policy | pornography | poverty | president | research | sex | structural | technology | terrorism | tunisia | uganda | university | woman | women";"africaz  austr  braz  cana  liber  mex  nigea  uganda  apacz  ausnz  bric  devgcoz  dvpcoz  eafrz  lamz  namz  samz  wafrz ";"";"gpov  gsoc  gimm  gsexu  gcat  gcom  ghea  gpir ";"africaz  austr  braz  cana  liber  mex  nigea  uganda  apacz  ausnz  bric  devgcoz  dvpcoz  eafrz  lamz  namz  samz  wafrz   gpov  gsoc  gimm  gsexu  gcat  gcom  ghea  gpir ";1698;"Voices Loud, Clear and Diverse At the Cutting Edge of Sexuality Research and Activism - Reflections On Ilga2014 [guest blog]"
"251";"AFNWS00020141118eabi001ed";2014-11-18;"";"Anglais";"";"accounting | africa | angola | bangladesh | biodiesel | brazil | business | china | community | conference | discrimination | economic+growth | economy | electricity | equity | ethanol | europe | executive | fossil+fuel | government | hosting | india | indonesia | investment | kenya | korea | liberia | local | marine | mexico | namibia | natural+resources | new_york | oecd | paris | partnership | policy | politics | pollution | population | poverty | president | products | profit | refugee | singapore | south+africa | sudan | track | training | turkey | uganda | washington | washington+dc | water | weather | women";"africaz  angol  braz  china  kenya  liber  mex  sudan  turk  uganda  usa  india  apacz  asiaz  balkz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  eurz  indsubz  lamz  meastz  medz  namz  samz  sasiaz  souafrz  wafrz  wasiaz ";"uneceu  oasta ";"c315  ccat ";"africaz  angol  braz  china  kenya  liber  mex  sudan  turk  uganda  usa  india  apacz  asiaz  balkz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  eurz  indsubz  lamz  meastz  medz  namz  samz  sasiaz  souafrz  wafrz  wasiaz  uneceu  oasta  c315  ccat ";1416;"Gina Casar - Remarks At the Opening Ceremony of the Global South-South Development Expo, Organization of American States [document]"
"252";"AFNWS00020141023eaan001cf";2014-10-23;"";"Anglais";"by Kanelo Pitso";"africa | business | community | expansion | farmers | gatt | International+trade | legal | massachusetts | medicine | partnership | pharmaceuticals | politics | poverty | property | trade | world+trade+organization";"africaz ";"wto ";"gglblz  e512  gglobe  nanl  e51  ecat  gcat  gcom  ncat ";"africaz  wto  gglblz  e512  gglobe  nanl  e51  ecat  gcat  gcom  ncat ";1077;"The Unfair Nature of the World Trade Organisation [analysis]"
"253";"AFNWS00020141022eaam000i8";2014-10-22;"";"Anglais";"";"africa | apartheid | central+african+republic | colombia | cuba | economy | egypt | environment | government | International+trade | investment | lobbying | local | natural+resources | palestinian | policy | politics | poverty | research | restructuring | trade | unions | western+sahara | women | yield";"safr  africaz  col  egypt  bric  devgcoz  dvpcoz  lamz  meastz  medz  nafrz  samz  souafrz ";"cgsatu ";"gpol  gcat  gpir ";"safr  africaz  col  egypt  bric  devgcoz  dvpcoz  lamz  meastz  medz  nafrz  samz  souafrz  cgsatu  gpol  gcat  gpir ";1623;"Cosatu Input to the ANC NGC International Preparatory Workshop Held in Pretoria, 17-19th October, 2014 By the Deputy General Secretary, Bheki Ntshalintshali [press release]"
"254";"AFNWS00020140915ea9f001ai";2014-09-15;"";"Anglais";"";"agricultural | employment | equity | finance | poverty | president | productivity | technology | weather";"africaz ";"";"gsust  gcat  genv  gpir  gplan  gpol ";"africaz   gsust  gcat  genv  gpir  gplan  gpol ";432;"On International Day, UN Urges Efforts to Support South-South Cooperation"
"255";"AFNWS00020140619ea6j0017x";2014-06-19;"";"Anglais";"";"africa | airport | asia | bank | beijing | botswana | brazil | burkina+faso | cambodia | china | colombia | conference | crime | education | europe | expansion | finance | gambia | grants | health | hiv | india | information+technology | International+trade | investment | kenya | korea | law | liberia | malaysia | manufacturer | manufacturing | market | mauritania | medical | myanmar | new_york | norway | partnership | philanthropy | police | policy | poverty | radio | renewable+energy | research | security | senegal | singapore | solar+power | somalia | startup | sudan | tanzania | technology | thailand | trade | training | transportation | turkey | uganda | water | yemen";"turk  kenya  africaz  bots  braz  china  col  istan  liber  norw  singp  somal  sudan  tanza  uganda  usa  yemar  india  apacz  asiaz  balkz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  eurz  indsubz  lamz  meastz  medz  namz  nordz  samz  sasiaz  scandz  seasiaz  souafrz  wafrz  wasiaz ";"";"c315  ghea  ccat  gcat ";"turk  kenya  africaz  bots  braz  china  col  istan  liber  norw  singp  somal  sudan  tanza  uganda  usa  yemar  india  apacz  asiaz  balkz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  eurz  indsubz  lamz  meastz  medz  namz  nordz  samz  sasiaz  scandz  seasiaz  souafrz  wafrz  wasiaz   c315  ghea  ccat  gcat ";2075;"Helen Clark - Opening Statement At the Conference On International Development Co-Operation [document]"
"256";"AFNWS00020140609ea69001o2";2014-06-09;"";"Anglais";"by Farooq Kperogi (phd)";"africa | asia | conference | constitution | europe | media | middle+east | minorities | newspaper | niger | nigeria | policy | politics | president | publishing | venezuela | writing";"nigea  africaz  ven  dvpcoz  lamz  samz  wafrz ";"";"gpol  gcat  gpir ";"nigea  africaz  ven  dvpcoz  lamz  samz  wafrz   gpol  gcat  gpir ";1542;"Why the Nigerian English Phrase 'South - South' Is Bad English [opinion]"
"257";"AFNWS00020140407ea470008q";2014-04-07;"";"Anglais";"by Cheta Nwanze";"africa | bank | brazil | britain | business | chile | communism | conference | construction | coup | currency | debt | economy | electricity | energy | europe | farmers | fire | foreign+investment | germany | ghana | government | greece | imf | index | market | money | nigeria | note | policy | politics | population | privatization | profit | property | rates | regulations | socialism | standards | structural | tax | trade | ukraine | unions | war | world+bank";"africaz  braz  chil  ghana  greece  nigea  uk  balkz  bric  devgcoz  dvpcoz  eecz  eurz  lamz  medz  samz  wafrz  weurz ";"";"c183  c315  c18  c31  cactio  ccat  ncat  nfact  nfcpin ";"africaz  braz  chil  ghana  greece  nigea  uk  balkz  bric  devgcoz  dvpcoz  eecz  eurz  lamz  medz  samz  wafrz  weurz   c183  c315  c18  c31  cactio  ccat  ncat  nfact  nfcpin ";1754;"The Global Economy and Nigeria [opinion]"
"258";"AFNWS00020140328ea3s001dl";2014-03-28;"";"Anglais";"";"agriculture | corporate | food | industrial | men | natural+resources | privatization | timber | united+nations | water | women";"africaz ";"foodao  fotgso  frerth  utdnat ";"c183  c18  cactio  ccat  ncat  nfact  nfcpin ";"africaz  foodao  fotgso  frerth  utdnat  c183  c18  cactio  ccat  ncat  nfact  nfcpin ";518;"Forests Need Proper Definition, NGOs Tell FAO"
"259";"AFNWS00020131102e9b2000b9";2013-11-02;"";"Anglais";"";"africa | argentina | cabinet | china | communications | community | conference | economy | employment | energy | environment | executive | finance | food | government | hydroelectric | industrial | investment | iraq | japan | kenya | local | maldives | partnership | plant | poverty | president | slovakia | tanzania | technology | training";"kenya  africaz  arg  china  iraq  jap  nairoi  tanza  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  gulfstz  lamz  meastz  samz  wasiaz ";"uncftr  ungass ";"gsust  c315  c31  ccat  gcat  genv  gpir  gplan  gpol  ncat  nfact  nfcpin ";"kenya  africaz  arg  china  iraq  jap  nairoi  tanza  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  gulfstz  lamz  meastz  samz  wasiaz  uncftr  ungass  gsust  c315  c31  ccat  gcat  genv  gpir  gplan  gpol  ncat  nfact  nfcpin ";754;"Remarks By Achim Steiner, UNEP Executive Director At the Closing of the Global South-South Development Expo 2013 [document]"
"260";"AFNWS00020131101e9b10011t";2013-11-01;"";"Anglais";"";"africa | business | ceo | china | community | conference | corporate | dubai | economy | egypt | energy | environment | executive | fertilizer | hydroelectric | investment | kenya | local | maldives | media | oecd | online | partnership | plant | policy | president | solar+power | tanzania | technology | trade | training | uae | uganda | web | women";"kenya  africaz  china  egypt  nairoi  tanza  uganda  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  meastz  medz  nafrz ";"utdnat ";"c315  c31  ccat  ncat  nfact  nfcpin ";"kenya  africaz  china  egypt  nairoi  tanza  uganda  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  meastz  medz  nafrz  utdnat  c315  c31  ccat  ncat  nfact  nfcpin ";934;"Over U.S.$450 Million in Pledges, Investments As the 2013 Global South-South Development Expo Concludes in Nairobi [press release]"
"261";"AFNWS00020131101e9b1000ys";2013-11-01;"";"Anglais";"";"academic | business | community | conference | conservation | corporate | dna | dollar | ecology | economic+growth | economy | education | energy | energy+efficiency | environment | exercise | farming | forestry | gasoline | ghana | health | hosting | housing | hydroelectric | investment | kenya | legal | men | new_york | note | poverty | president | profit | renewable+energy | tanzania | technology | trade | united+nations | water | women | yield";"kenya  africaz  ghana  nairoi  tanza  usa  dvpcoz  eafrz  namz  wafrz ";"ungass  utdnat ";"gsust  c315  gpol  c31  ccat  gcat  genv  gpir  gplan  ncat  nfact  nfcpin ";"kenya  africaz  ghana  nairoi  tanza  usa  dvpcoz  eafrz  namz  wafrz  ungass  utdnat  gsust  c315  gpol  c31  ccat  gcat  genv  gpir  gplan  ncat  nfact  nfcpin ";1889;"Statement By H.E. Mr. John W. Ashe President of the 68th Session of the United Nations General Assembly to the Closing Ceremony of the Global South-South Development Expo Nairobi, Kenya [document]"
"262";"AFNWS00020131101e9b1000o4";2013-11-01;"";"Anglais";"";"community | kenya | partnership | poverty | trade";"africaz  kenya  dvpcoz  eafrz ";"";"c315  c31  ccat  ncat  nfact  nfcpin ";"africaz  kenya  dvpcoz  eafrz   c315  c31  ccat  ncat  nfact  nfcpin ";213;"2013 Global South-South Development Expo Opens in Kenya"
"263";"AFNWS00020131031e9av000ww";2013-10-31;"";"Anglais";"by Abimbola Akosile";"africa | business | china | community | environment | executive | expansion | government | hungary | kenya | nigeria | oil+and+gas | partnership | poverty | technology | trade";"africaz  china  kenya  nigea  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  wafrz ";"tdnvpq ";"c315  c31  ccat  ncat  nfact  nfcpin ";"africaz  china  kenya  nigea  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  wafrz  tdnvpq  c315  c31  ccat  ncat  nfact  nfcpin ";453;"Nigeria, Others Share Green Solutions for Development Challenges"
"264";"AFNWS00020131030e9au001p9";2013-10-30;"";"Anglais";"";"africa | business | china | community | conference | environment | executive | expansion | government | hungary | kenya | oil+and+gas | partnership | poverty | technology | trade";"africaz  china  kenya  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz ";"tdnvpq ";"c315  c31  ccat  ncat  nfact  nfcpin ";"africaz  china  kenya  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  tdnvpq  c315  c31  ccat  ncat  nfact  nfcpin ";447;"At UN Conference, Countries Share Green Solutions for Development Challenges"
"265";"AFNWS00020131029e9at0012z";2013-10-29;"";"Anglais";"";"africa | brazil | business | china | community | corporate | energy | environment | equatorial+guinea | ethiopia | executive | expansion | gdp | ghana | government | habitat | housing | hungary | kenya | market | oecd | oil | oil+and+gas | partnership | petroleum | policy | poverty | president | renewable+energy | south+africa | tanzania | technology | trade | uganda";"africaz  braz  china  ghana  kenya  nairoi  tanza  uganda  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  lamz  samz  wafrz ";"utdnat ";"gsust  c315  c31  ccat  gcat  genv  gpir  gplan  gpol  ncat  nfact  nfcpin ";"africaz  braz  china  ghana  kenya  nairoi  tanza  uganda  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  lamz  samz  wafrz  utdnat  gsust  c315  c31  ccat  gcat  genv  gpir  gplan  gpol  ncat  nfact  nfcpin ";857;"Global Community Gathers to Tackle Development Challenges At UN South-South Expo Held for the First Time in Africa [press release]"
"266";"AFNWS00020131029e9at000d3";2013-10-29;"";"Anglais";"";"air+pollution | asia | bank | borneo | brunei | business | ceo | china | coal | community | economy | electricity | employment | energy | environment | executive | expansion | export | finance | gdp | government | health | hungary | indonesia | kenya | legal | liberalization | local | malaysia | market | mining | mongolia | natural+resources | north+america | oecd | peru | policy | population | poverty | power+plant | products | trade | water";"africaz  china  kenya  peru  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  lamz  samz ";"chpc  cpetc China Petroleum and Chemical Corp (Sinopec Corp) oecode  ungass ";"gsust  c315  c31  ccat  gcat  genv  gpir  gplan  gpol  ncat  nfact  nfcpin ";"africaz  china  kenya  peru  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  lamz  samz  chpc  cpetc China Petroleum and Chemical Corp (Sinopec Corp) oecode  ungass  gsust  c315  c31  ccat  gcat  genv  gpir  gplan  gpol  ncat  nfact  nfcpin ";1197;"Remarks By Achim Steiner, Executive Director of UN Environment Programme to the Leadership Round Table At the Global South-South Development Expo 2013 [document]"
"267";"AFNWS00020131028e9as0018o";2013-10-28;"";"Anglais";"";"africa | asia | brazil | china | economy | electricity | executive | expansion | farming | geothermal | habitat | hungary | kenya | renewable+energy | travel | uganda";"africaz  braz  china  kenya  nairoi  uganda  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  lamz  samz ";"ungass  untrre ";"c315  c31  ccat  ncat  nfact  nfcpin ";"africaz  braz  china  kenya  nairoi  uganda  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  lamz  samz  ungass  untrre  c315  c31  ccat  ncat  nfact  nfcpin ";549;"Remarks By Achim Steiner, Unep Executive Director At the Opening of the Global South-South Development Expo 2013 [document]"
"268";"AFNWS00020130911e99b000n0";2013-09-11;"";"Anglais";"by Oliver Stuenkel";"africa | bank | brazil | china | economic+growth | economy | europe | foundation | imf | india | money | policy | poverty | rates | security | south+africa | structural | writing";"usa  china  africaz  braz  bric  apacz  asiaz  chinaz  devgcoz  dvpcoz  easiaz  lamz  namz  samz ";"";"";"usa  china  africaz  braz  bric  apacz  asiaz  chinaz  devgcoz  dvpcoz  easiaz  lamz  namz  samz   ";720;"The End of the Emerging World? [analysis]"
"269";"AFNWS00020130729e97t001nb";2013-07-29;"";"Anglais";"by Stephen Wood";"discrimination | european+union | family | france | government | homosexual | law | malawi | marriage | media | minorities | politics | research | russia | supreme+court | tax | uganda";"africaz  fra  uganda  uk  dvpcoz  eafrz  eecz  eurz  medz  weurz ";"govgb ";"gsoc  ggaym  gcat  gcom  ghum  glgbt ";"africaz  fra  uganda  uk  dvpcoz  eafrz  eecz  eurz  medz  weurz  govgb  gsoc  ggaym  gcat  gcom  ghum  glgbt ";868;"The Marriage Trap - the Pleasures and Perils of Same-Sex Equality [guest blog]"
"270";"AFNWS00020130425e94p0019p";2013-04-25;"";"Anglais";"by Sheriff Janko";"africa | brazil | china | community | congo | economic+growth | education | employment | equity | exercise | gdp | health | index | india | investment | mexico | mozambique | niger | norway | note | policy | politics | president | russia | south+africa | statistics | technology | trade | women";"africaz  braz  china  mex  norw  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz  eurz  lamz  namz  nordz  samz  scandz ";"";"ghea  gcat ";"africaz  braz  china  mex  norw  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz  eurz  lamz  namz  nordz  samz  scandz   ghea  gcat ";1232;"VP Launches Human Development Report 2013"
"271";"AFNWS00020121116e8bg000sh";2012-11-16;"";"Anglais";"by Chelsea Purvis";"abortion | activist | africa | australia | chad | children | civil+rights | college | communications | community | contraception | democracy | discrimination | divorce | education | employment | exercise | family | federal | ghana | government | health | housing | human+rights | international+law | law | legal | local | london | marriage | mauritius | men | mexico | murder | peru | politics | pregnancy | property | rape | sex | sierra+leone | somalia | sports | sudan | tanzania | training | treaty | united+nations | university | women";"africaz  austr  ghana  maurts  mex  peru  somal  sudan  tanza  apacz  ausnz  devgcoz  dvpcoz  eafrz  lamz  namz  samz  wafrz ";"";"cwkdis  ghum  nanl  c42  ccat  gcat  gcom  gdcri  gsoc  ncat  nfact  nfcpin ";"africaz  austr  ghana  maurts  mex  peru  somal  sudan  tanza  apacz  ausnz  devgcoz  dvpcoz  eafrz  lamz  namz  samz  wafrz   cwkdis  ghum  nanl  c42  ccat  gcat  gcom  gdcri  gsoc  ncat  nfact  nfcpin ";2731;"The Convention On the Elimination of Discrimination Against Women [analysis]"
"272";"AFNWS00020120724e87n0015s";2012-07-23;"";"Anglais";"";"africa | asia | china | community | conference | economy | education | local | networking | note | partnership | politics | poverty | singapore | south+america | statistics | thailand";"africaz  bakok  china  singp  thail  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz  seasiaz ";"";"grel  c315  c31  ccat  gcat  gcom  ncat  nfact  nfcpin ";"africaz  bakok  china  singp  thail  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz  seasiaz   grel  c315  c31  ccat  gcat  gcom  ncat  nfact  nfcpin ";1223;"'Global Anglican Church Allows Us to Serve, Work, Learn Together' - Global South Communique"
"273";"AFNWS00020120424e84n000il";2012-04-23;"";"Anglais";"";"africa | apartheid | community | food | hiv | religion | south+africa | uganda";"africaz  uganda  dvpcoz  eafrz ";"chraid ";"ghiv  gcat  ghea  gmed  gstd ";"africaz  uganda  dvpcoz  eafrz  chraid  ghiv  gcat  ghea  gmed  gstd ";464;"Church Vital to Development Says Report Highlighting Theology of Global South [press release]"
"274";"AFNWS00020120327e83q000uh";2012-03-26;"";"Anglais";"by Maurice Malanes";"africa | asia | catholic | college | evangelism | executive | ghana | jamaica | partnership | philippines | south+korea | training";"phlns  africaz  ghana  manil  apacz  asiaz  devgcoz  dvpcoz  seasiaz  wafrz ";"wldnch ";"grel  gcat  gcom ";"phlns  africaz  ghana  manil  apacz  asiaz  devgcoz  dvpcoz  seasiaz  wafrz  wldnch  grel  gcat  gcom ";551;"Church Leaders Stress Partnership As Christianity Grows in Global South"
"275";"AFNWS00020111129e7bt000b6";2011-11-29;"";"Anglais";"by Imraan Buccus";"apartheid | bangladesh | china | community | conservation | energy | environment | india | north+america | oil | politics | pollution | poverty | research | south+africa | technology | venezuela";"safr  india  africaz  china  ven  durban  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz  indsubz  lamz  samz  sasiaz  souafrz  vista ";"";"ccsr  gclimt  nanl  ccat  gcat  genv  gglobe  gwea  ncat  nfact  nfcpex ";"safr  india  africaz  china  ven  durban  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz  indsubz  lamz  samz  sasiaz  souafrz  vista   ccsr  gclimt  nanl  ccat  gcat  genv  gglobe  gwea  ncat  nfact  nfcpex ";1123;"Climate Change - the North Must Pay for Mitigation Strategies [analysis]"
"276";"AFNWS00020111007e7a7000vk";2011-10-07;"";"Anglais";"by Glenn Ashton";"academic | africa | brazil | business | china | clinton | conference | corporate | drought | economy | fossil+fuel | india | japan | lobbying | millennium | pakistan | politics | russia | science | somalia | south+africa | standards | technology | trade | treaty | writer";"safr  africaz  braz  china  jap  somal  durban  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  lamz  samz  souafrz  vista ";"";"gclimt  memiss  e512  gforst  e51  ecat  gcat  genv  gglobe  gwea  mcat  ncat  nfact  nfce ";"safr  africaz  braz  china  jap  somal  durban  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  lamz  samz  souafrz  vista   gclimt  memiss  e512  gforst  e51  ecat  gcat  genv  gglobe  gwea  mcat  ncat  nfact  nfce ";1472;"Africa Must Lead - Cop 17 Must Deliver Climate Justice to Developing Nations [opinion]"
"277";"AFNWS00020110908e798000j8";2011-09-08;"";"Anglais";"by H. Nanjala Nyabola";"african+american | community | congo | europe | men | movie | north+america | politics | rape | woman | women";"africaz ";"";"grape  gcat  gcrim ";"africaz   grape  gcat  gcrim ";965;"Power Affects Societal Structure [opinion]"
"278";"AFNWS00020110905e795000b7";2011-09-05;"";"Anglais";"by Tau Tawengwa";"afghanistan | africa | asia | family | imf | iraq | myanmar | politics | somalia | statistics | structural";"africaz  iraq  somal  asiaz  dvpcoz  eafrz  gulfstz  meastz  wasiaz ";"trpnto ";"";"africaz  iraq  somal  asiaz  dvpcoz  eafrz  gulfstz  meastz  wasiaz  trpnto  ";408;"The Global South Needs Diligence [opinion]"
"279";"AFNWS00020100921e69l000yf";2010-09-21;"";"Anglais";"";"abortion | academic | accounting | adoption | afghanistan | africa | agricultural | agriculture | aids | angola | arable | armenia | asia | azerbaijan | bangladesh | bank | belgium | benin | bhutan | bolivia | botswana | budget | burkina+faso | burundi | business | cambodia | children | china | colombia | commerce | commodity | communications | community | comoros | conference | conservation | constitution | construction | contributions | croatia | cuba | czech+republic | debt | deficit | democracy | discrimination | disease | diversification | dividends | dollar | dominica | ecology | economic+growth | economy | ecuador | education | egypt | electricity | embargo | emergency | employment | energy | energy+efficiency | environment | environmental+impact | epa | epidemic | equity | estonia | ethiopia | euro | europe | european+union | expansion | explosion | export | family | family+health | farmers | federal | finance | food | forecasts | foreign+affairs | foreign+aid | foreign+investment | foundation | france | gasoline | gaza | gdp | georgia | geothermal | ghana | government | grants | greece | gross+domestic+product | guatemala | haiti | health | hiv | honduras | hospital | hosting | household | housing | human+rights | hydroelectric | imf | india | indonesia | industrial | infection | inflation | International+trade | internet | investment | iran | iraq | israel | jewish | jordan | kenya | kyrgyzstan | law | lebanon | legal | legislation | liberalization | libya | liechtenstein | local | macedonia | machinery | malawi | market | media | medical | men | mexico | military | millennium | mining | minorities | moldova | monaco | money | morocco | mozambique | murder | namibia | nato | natural+resources | nepal | new_york | new+zealand | nigeria | norway | nutrition | oecd | oil | oman | pakistan | parliament | partnership | pilot | pipeline | policy | politics | population | poverty | president | prices | prime+minister | qatar | rates | recall | recession | regulations | religion | renewable+energy | research | revenue | samoa | saudi+arabia | schedule | science | security | spain | species | standards | statistics | structural | swaziland | switzerland | syria | tajikistan | tanzania | tax | technology | telecommunications | terrorism | thailand | togo | track | trade | traffic | training | transportation | treaty | trial | tunisia | turkey | turkmenistan | unemployment | unions | united+arab+emirates | united+nations | utilities | uzbekistan | venezuela | veterans | vocational | war | water | women | yemen | zanzibar";"africaz  belg  bol  bots  china  col  comor  crtia  doha  eecz  egypt  fra  ghana  greece  iraq  israel  kenya  mcdnia  mex  moroc  nigea  norw  qatar  switz  tanza  turk  ven  yemar  india  xinji  apacz  asiaz  balkz  benluxz  bric  chinaz  dach  devgcoz  dvpcoz  eafrz  easiaz  eeurz  eurz  gulfstz  indsubz  lamz  meastz  medz  nafrz  namz  nordz  samz  sasiaz  scandz  souafrz  wafrz  wasiaz  weurz ";"undepr ";"gdip  gfdsec  ghea  gmurd  gpov  gtub  e11  ecat  gcat  gcom  gcrim  gmed  gpir  gsoc ";"africaz  belg  bol  bots  china  col  comor  crtia  doha  eecz  egypt  fra  ghana  greece  iraq  israel  kenya  mcdnia  mex  moroc  nigea  norw  qatar  switz  tanza  turk  ven  yemar  india  xinji  apacz  asiaz  balkz  benluxz  bric  chinaz  dach  devgcoz  dvpcoz  eafrz  easiaz  eeurz  eurz  gulfstz  indsubz  lamz  meastz  medz  nafrz  namz  nordz  samz  sasiaz  scandz  souafrz  wafrz  wasiaz  weurz  undepr  gdip  gfdsec  ghea  gmurd  gpov  gtub  e11  ecat  gcat  gcom  gcrim  gmed  gpir  gsoc ";25354;"Resources, Political Will to Achieve Millenium Development Goals by 2015 [press release]"
"280";"AFNWS00020100114e61e001e9";2010-01-14;"";"Anglais";"by Michelle Pressend";"bolivia | brazil | china | coal | commodity | dance | energy | farmers | finance | food | government | india | Johannesburg | liberalization | policy | products | profit | research | security | south+africa | steel | structural | tax | technology | trade | world+trade+organization | writing";"bol  braz  china  den  safr  africaz  asiaz  chinaz  devgcoz  dvpcoz  easiaz  eecz  eurz  lamz  nordz  samz  scandz  souafrz  weurz ";"";"ccsr  gclimt  ccat  gcat  genv  gglobe  gwea  ncat  nfact  nfcpex ";"bol  braz  china  den  safr  africaz  asiaz  chinaz  devgcoz  dvpcoz  easiaz  eecz  eurz  lamz  nordz  samz  scandz  souafrz  weurz   ccsr  gclimt  ccat  gcat  genv  gglobe  gwea  ncat  nfact  nfcpex ";1322;"Copenhagen Accord Makes Sham of Global Environmental Justice [opinion]"
"281";"AFNWS00020091120e5bk0019h";2009-11-20;"";"Anglais";"";"africa | budget | children | conference | disease | energy | environment | family | foundation | ghana | grants | health | local | men | partnership | policy | politics | population | president | research | women";"ghana  africaz  devgcoz  dvpcoz  wafrz ";"";"gsoc  ghea  gcat  gcom ";"ghana  africaz  devgcoz  dvpcoz  wafrz   gsoc  ghea  gcat  gcom ";880;"Revival of Family Planning, Reproductive Health On the Horizon"
"282";"AFNWS00020080725e47p001mj";2008-07-26;"";"Anglais";"by Chris Mbunwe";"britain | cameroon | community | discrimination | elderly | foundation | human+rights | index | london | networking | policy | poverty | prime+minister | switzerland | zambia";"switz  uk  eecz  eurz  weurz ";"";"gdip  ghonl  gcat  gpir  gpol ";"switz  uk  eecz  eurz  weurz   gdip  ghonl  gcat  gpir  gpol ";451;"CDVTA - Director Wins Sheila Mckechine International Award"
"283";"AFNWS00020080617e46h000xm";2008-06-17;"";"Anglais";"";"caribbean | ceo | communications | conference | disease | environment | foundation | government | health | india | italy | local | massachusetts | medical | partnership | president | research | technology | united+nations | university | video | washington";"italy  usa  eecz  eurz  medz  namz  weurz ";"";"c315  gpov  c31  ccat  gcat  gcom  gsoc  ncat  nfact  nfcpin ";"italy  usa  eecz  eurz  medz  namz  weurz   c315  gpov  c31  ccat  gcat  gcom  gsoc  ncat  nfact  nfcpin ";994;"Innovative Uses of Technology to Improve Health for Poor and Vulnerable People to be Explored at Rockefeller Foundation Conference [press release]"
